City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,peace river,56.2501,-117.286,276.32,51,100,4.12,CA,1711583118
289,dhuusamarreeb,5.535,46.3861,298.8,79,55,6.2,SO,1711583264
290,amga,60.8953,131.9608,272.38,95,100,1.87,RU,1711583133
291,mount gambier,-37.8333,140.7667,291.27,60,60,2.93,AU,1711583264
292,swan hill,-35.3378,143.5544,292.04,45,0,4.07,AU,1711583264
293,crozon,48.2464,-4.4899,279.21,81,75,8.23,FR,1711583264
294,yei,4.095,30.6779,295.53,74,89,1.39,SS,1711583141
295,mariestad,58.7097,13.8237,277.8,90,100,4.35,SE,1711583265
296,mulanje,-16.0316,35.5,293.45,98,38,2.13,MW,1711583265
297,tutong,4.8,114.65,300.2,83,98,2.24,BN,1711583265
298,kidal,18.4411,1.4078,299.73,22,80,4.19,ML,1711583266
299,mermoz boabab,14.7065,-17.4758,294.46,88,0,4.12,SN,1711583266
300,aykhal,66.0,111.5,246.46,98,66,2.13,RU,1711583266
301,karratha,-20.7377,116.8463,303.05,36,0,3.25,AU,1711583107
302,chenzhou,25.8,113.0333,291.14,96,100,1.19,CN,1711583104
303,tumayr,25.7039,45.868,292.24,30,9,1.41,SA,1711583267
304,ola,59.5833,151.2833,266.92,85,100,0.17,RU,1711583267
305,lobatse,-25.2167,25.6667,291.22,55,36,2.13,BW,1711583267
306,lompoc,34.6391,-120.4579,293.71,68,0,5.66,US,1711583267
307,harstad,68.799,16.5293,269.9,86,86,1.66,NO,1711583267
308,laibin,23.7,109.2667,295.77,86,98,2.78,CN,1711583268
309,icmeler,40.8464,29.3089,292.65,42,0,3.09,TR,1711583268
310,lorengau,-2.0226,147.2712,302.04,76,81,1.05,PG,1711583268
311,jilib,0.4883,42.7854,299.06,81,57,2.68,SO,1711583268
312,dongcun,36.7767,121.1597,281.69,88,97,2.59,CN,1711583269
313,nagqu,31.5,92.0,267.19,25,84,1.69,CN,1711583269
314,san patricio,28.017,-97.5169,296.2,50,8,1.49,US,1711583269
315,lianjiang,21.6467,110.2817,296.54,86,87,1.63,CN,1711583269
316,ulladulla,-35.35,150.4667,294.69,86,100,1.36,AU,1711583269
317,wellington,-41.2866,174.7756,289.3,66,100,8.23,NZ,1711583111
318,talnakh,69.4865,88.3972,249.26,96,99,2.28,RU,1711583095
319,guerrero negro,27.9769,-114.0611,293.27,46,0,6.17,MX,1711583134
320,tucuma,-0.1833,-50.05,298.53,93,19,2.56,BR,1711583270
321,tsiombe,-25.3,45.4833,294.81,88,29,4.46,MG,1711583270
322,chinde,26.8418,88.0763,287.29,80,92,1.29,NP,1711583270
323,whitby,54.4877,-0.615,279.26,87,30,4.22,GB,1711583173
324,tralee,52.2704,-9.7026,274.21,91,37,3.72,IE,1711583117
325,sao jose da coroa grande,-8.8978,-35.1478,299.55,85,99,1.58,BR,1711583271
326,itoman,26.1247,127.6694,295.16,68,40,5.66,JP,1711583271
327,verkhnevilyuysk,63.4453,120.3167,253.71,95,86,2.42,RU,1711583271
328,pisco,-13.7,-76.2167,297.18,78,0,7.2,PE,1711583120
329,palapag,12.5458,125.1147,300.5,85,78,4.64,PH,1711583272
330,la'ie,21.6477,-157.9253,301.13,78,6,5.81,US,1711583096
331,masjed soleyman,31.9364,49.3039,290.93,50,100,1.15,IR,1711583272
332,bengkulu,-3.8004,102.2655,297.85,87,99,1.93,ID,1711583272
333,tarawa,1.419,172.984,304.2,74,20,4.12,KI,1711583129
334,wynyard,-41.0,145.7167,289.91,54,1,2.03,AU,1711583273
335,beledweyne,4.7358,45.2036,300.33,71,67,5.41,SO,1711583273
336,lihue,21.9789,-159.3672,300.73,79,75,7.72,US,1711583273
337,vasudevanallur,9.2333,77.4167,298.29,81,45,1.41,IN,1711583273
338,novodvinsk,64.4165,40.8122,260.81,98,64,0.81,RU,1711583273
339,labrador city,52.9463,-66.9114,274.1,84,100,5.66,CA,1711583112
340,keflavik,64.0049,-22.5624,271.39,69,20,6.69,IS,1711583100
341,posto fiscal rolim de moura,-13.0833,-62.2667,296.94,97,94,2.57,BR,1711583042
342,usogorsk,63.4106,48.6872,255.19,100,91,1.28,RU,1711583274
343,douvres-la-delivrande,49.2947,-0.3804,281.57,87,75,10.8,FR,1711583274
344,san julian,21.0167,-102.1667,299.61,4,0,4.27,MX,1711583274
345,lianzhou,24.7811,112.3825,295.15,92,100,0.14,CN,1711583274
346,bel ombre,-4.6167,55.4167,300.06,89,40,0.51,SC,1711583275
